id,name,time,arrival,date
577,Vishnu K,08:29:31,Present,2026-08-29
578,Yogesh M,08:15:06,Present,2026-08-29
579,Ajay R,08:38:40,Late,2026-08-29
580,Kavin S,08:22:44,Present,2026-08-29
581,Ashwanth S,08:02:31,Present,2026-08-30
582,Arun K,08:51:14,Late,2026-08-30
583,Bharath R,09:10:40,Late,2026-08-30
584,Dinesh P,08:29:50,Present,2026-08-30
585,Gokul M,08:55:58,Late,2026-08-30
586,Harish V,08:09:50,Present,2026-08-30
587,Karthik S,08:34:16,Late,2026-08-30
588,Lokesh K,09:11:19,Late,2026-08-30
589,Manoj R,08:34:15,Late,2026-08-30
590,Naveen P,08:19:39,Present,2026-08-30
591,Praveen S,08:26:12,Present,2026-08-30
592,Rahul M,08:01:42,Present,2026-08-30
593,Sanjay K,08:11:26,Present,2026-08-30
594,Sathish R,09:05:19,Late,2026-08-30
595,Surya P,09:02:04,Late,2026-08-30
596,Vignesh S,08:23:29,Present,2026-08-30
597,Vishnu K,08:41:32,Late,2026-08-30
598,Yogesh M,08:09:27,Present,2026-08-30
599,Ajay R,09:09:19,Late,2026-08-30
600,Kavin S,08:12:48,Present,2026-08-30
